gemeente;soort;jaar;verkiezing;"verkiezing-
partij";p;partij;w;sb;stemmen;opmerking
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;37;14;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;38;116;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;38;77;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;38;93;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;38;58;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;38;38;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;38;57;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;38;24;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;38;119;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;38;21;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;39;159;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;39;96;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;39;131;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;39;66;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;39;87;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;39;43;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;39;28;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;39;37;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;39;17;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;4;40;148;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;4;40;124;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;4;40;151;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;4;40;62;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;4;40;107;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;4;40;64;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;4;40;20;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;4;40;30;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;4;40;9;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;5;41;182;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;5;41;178;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;5;41;187;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;5;41;64;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;5;41;172;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;5;41;110;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;5;41;27;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;5;41;37;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;5;41;22;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;5;42;133;
